POLR2B	POLR2L
SLAMF1	SLAMF8
GABPB1	GPATCH8
HMMR	KIF2C
DNAJC2	POLR1E
NUP42	NUP62
RASAL3	MPEG1
SF3B6	MDC1
CLEC14A	GJA5
MIPEP	ABCB8
MCUR1	PNPT1
NDUFA2	NDUFV3
CDCA3	KIF20B
ALOX5	ARHGEF6
EBNA1BP2	RCL1
CLEC10A	FCMR
NDUFB7	MT-ND2
RPL8	UTP11
THOC2	NSRP1
SRGN	LILRA6
ZNF638	BBS10
AQR	WDR18
AGO3	ZNF814
LPXN	IL16
ATG2B	PPM1A
PUS7	NUP93
GZMB	C19orf38
NOL9	NOC4L
SLPI	ANG
SIRT5	CDNF
MSR1	CYTH4
CTNNBL1	MFAP1
ITGB2	FCAR
ITK	IKZF1
SRSF9	CPSF7
BCAS2	INTS1
SUPT6H	RBM14
GPKOW	XAB2
FMOD	COL6A2
TECR	LCLAT1
GRWD1	GPATCH4
CLEC4A	RAB31
NFKB2	PPP1R18
GBP4	CARD16
SMARCB1	SMARCA5
TOP2A	TYMS
CHD4	SRSF3
PPIL4	SRSF10
WAPL	DDX50
NDUFB3	ATP5ME
PTPRC	LIMD2
SRSF11	TRA2B
ZSCAN20	ZNF691
WAS	S100A4
SMU1	DHX9
CENPH	SKA2
PTBP1	RPP30
STK10	LAIR1
POMT2	GPATCH2L
LTBP2	CTHRC1
PRPF19	API5
MRPL22	MRPL18
PHF14	ZC3H13
FCHSD2	PIP5K1C
KHSRP	SRSF3
NDUFB3	NDUFA12
NOP53	RPL34
SMAP2	SELL
ARHGAP4	CYBB
MRPL38	RCC1L
PTK6	SDR16C5
GMIP	APOBEC3G
NUP160	HEATR1
FBXO7	RFESD
MRPL10	DDX28
ECSIT	MALSU1
PRIM2	CENPH
NDUFA5	NDUFC2
NSUN4	OXA1L
NCAPD2	SKA3
PCNP	EDF1
TEKT2	ARMC4
DEK	PRPF40A
OXA1L	MRPL38
THEMIS2	ADPGK
GTF2F2	SF3B3
NDUFA10	MT-CO3
MRPL37	NDUFAF2
ALG8	KRTCAP2
TTC26	IFT122
PQBP1	SAP30BP
FRG1	ZC3H4
SLC44A4	SMIM22
UQCRC2	NDUFB1
SMC4	NUSAP1
NOP16	RPS25
DEK	LENG8
RHOG	C16orf54
DGCR8	CTR9
TNC	FGB
TRIR	MFAP1
RPL36	RPL27
ILF2	TRRAP
ATP5F1C	ATP5ME
MYH11	CSRP1
PDLIM4	FLNA
RPS14	UBA52
ITIH1	LRG1
CCN4	THBS2
BCCIP	RBM17
CCDC47	SYVN1
MRTO4	ZNF622
GNL2	WDR36
PDK2	TMEM143
RBM17	SF3B5
MCM5	TTK
HEATR1	NOC2L
SCPEP1	NPL
QRSL1	MRPS16
PLEKHO1	ZEB2
TMED2	SELENOF
DHX33	NOC4L
POLM	SH2B1
NDUFA3	COA3
CYBA	AIF1
CPSF6	POLR2K
IGSF6	FGD2
MAGEA10	MAGEA4
RSPH9	C11orf16
CPN1	FGB
MS4A6A	DSE
SP100	UBE2L6
TEX10	PRPF8
ARHGAP15	TBC1D10C
AIP	CORO1B
F11	F9
MRPS27	MRPL11
PRPF4	EWSR1
COX4I1	NDUFA2
DDX18	PAK1IP1
SERPINF1	COL2A1
RTF2	INTS12
DOCK8	PTPN6
MRPL19	MRPL52
ATP5F1D	ATP5MPL
ARHGDIB	TNFAIP8
ACO2	ACADS
MRTO4	GNL2
SAFB	API5
PFDN4	PFDN6
SNRNP70	SNRPB2
ACTL6A	SUPT5H
MED6	EIF4A3
FCF1	DDX52
MCM4	EIF4A3
RSL24D1	RSL1D1
FERMT3	MPEG1
SFSWAP	SF3B3
ANK1	UBAC1
MMP9	THEMIS2
INTS2	USP39
SP140	CD3D
UQCRC1	ATP5F1D
C1orf162	SIRPB2
TPM1	FILIP1L
CORO1A	SLFN5
MTX2	SFXN1
WIZ	VRK1
SASS6	ARHGAP11A
PCLAF	BLM
CPSF6	PRCC
CMSS1	NOL7
PTCD3	TACO1
RBBP5	ZNF830
XPNPEP1	PGAM1
SELL	GPSM3
EXOC4	VPS53
SMARCB1	BUB3
NDUFB6	NDUFA6
SLAMF1	LST1
HADHA	OGDH
SPEN	THOC7
MRPS33	GTPBP10
RTF2	SF3A3
SLC25A11	NDUFB5
BPIFB2	SCGB3A1
MT-ND6	MT-CO3
DOK2	SLC49A3
PAF1	PCF11
CLSPN	NUSAP1
ATP5F1A	NDUFV1
PABPC1	RPL15
POLE2	CENPU
ANKRD44	ARHGAP45
PDHB	SPG7
KDM1A	RBM39
TBCD	ARL2
ITGAX	PTPRJ
HMMR	TTK
FSTL1	COL1A2
BCL7C	DPF2
RPS25	RPS18
ERH	NUP98
LORICRIN	KPRP
DDX5	ALYREF
EIF3L	RPL29
IL1B	CLEC7A
PRCC	API5
CD74	CD37
MYBL2	PCLAF
SNRNP200	SAFB
EEF1A1	NACA
F11	F12
ASPM	DLGAP5
USHBP1	PTPRM
CCT2	PSMD1
STT3A	RPS11
PRR11	PLK1
CFAP46	PPP1R42
CDC5L	U2SURP
PRPF4	NUP62
PLEK	CCL5
IGHMBP2	TPCN2
VRK1	ASF1B
